Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Carpinus betulus,12,3.6,3,7.1,29.4,115.2
Carpinus betulus,12,3.6,3,7.1,29.4,115.2
Carpinus betulus,8,2.4,3,7.1,18.6,115.2
Carpinus betulus,8,2.4,3,7.1,22.5,115.2
Carpinus betulus,8,2.4,3,7.1,22.5,115.2
Carpinus betulus,6,1.8,3,7.1,12.7,26.5
Carpinus betulus,6,1.8,3,7.1,15.4,26.5
Carpinus betulus,6,1.8,3,7.1,13.6,26.5
Carpinus betulus,6,1.8,3,7.1,13.6,26.5
Carpinus betulus,6,1.8,3,7.1,11.8,26.5
Carpinus betulus,6,1.8,2,3.1,6.3,4.8
Carpinus betulus,6,1.8,2,3.1,5.6,4.8
Carpinus betulus,6,1.8,2,3.1,5.6,4.8
Carpinus betulus,6,1.8,2,3.1,5.9,4.8
Carpinus betulus,6,1.8,2,3.1,4.8,4.8
Carpinus betulus,6,1.8,2,3.1,5.9,4.8
Carpinus betulus,6,1.8,2,3.1,4.8,4.8
Carpinus betulus,8,2.4,3,7.1,17.6,26.5
Carpinus betulus,6,1.8,3,7.1,16.3,115.2
Carpinus betulus,4,1.2,3,7.1,11.1,26.5
Carpinus betulus,15,4.5,4,12.6,58.4,189.3
Carpinus betulus,15,4.5,4,12.6,53.7,406.9
Carpinus betulus,15,4.5,3,7.1,28.2,26.5
Carpinus betulus,8,2.4,3,7.1,14.6,26.5
Carpinus betulus,15,4.5,4,12.6,47.4,115.2
Carpinus betulus,8,2.4,3,7.1,16.6,26.5
Carpinus betulus,8,2.4,4,12.6,33.9,61.7
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.3,13.2
Carpinus betulus,4,1.2,1.5,1.8,3.7,13.2
Carpinus betulus,4,1.2,1.5,1.8,4,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Carpinus betulus,4,1.2,1.5,1.8,4,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Carpinus betulus,4,1.2,1.5,1.8,4.8,13.2
Celtis australis,10,3,3,7.1,14.3,17.5
Celtis australis,10,3,3,7.1,17.3,17.5
Celtis australis,12,3.6,3,7.1,20.6,28.7
Celtis australis,18,5.4,5,19.6,109.6,308
Celtis australis,8,2.4,3,7.1,16.7,28.7
Celtis australis,8,2.4,3,7.1,16.7,28.7
Celtis australis,8,2.4,3,7.1,14.8,28.7
Celtis australis,6,1.8,3,7.1,11.7,17.5
Cupressus sempervirens,4,1.2,0.8,0.5,1.9,72.09999999999999
Cupressus sempervirens,6,1.8,1.2,1.1,3.9,72.40000000000001
Cupressus sempervirens,8,2.4,1,0.8,3.6,33.9
Cupressus sempervirens,12,3.6,1.2,1.1,6.5,127.1
Diospyros kaki,10,3,4,12.6,29.6,185.4
Fraxinus,4,1.2,2,3.1,5.5,17.7
Fraxinus,5,1.5,2,3.1,6.7,37.1
Fraxinus ornus,6,1.8,3,7.1,8.4,14.5
Fraxinus americana,8,2.4,3,7.1,19.7,100.4
Fraxinus americana,4,1.2,2,3.1,5.7,11.4
Fraxinus americana,6,1.8,2,3.1,5.9,3.7
Fraxinus americana,8,2.4,3,7.1,15.4,19.3
Fraxinus americana,8,2.4,3,7.1,11.9,19.3
Fraxinus americana,5,1.5,2,3.1,5.5,3.7
Fraxinus americana,8,2.4,3,7.1,19.7,100.4
Fraxinus americana,8,2.4,3,7.1,15.1,100.4
Fraxinus americana,6,1.8,3,7.1,15.5,50.7
Fraxinus americana,8,2.4,3,7.1,19.7,100.4
Fraxinus americana,6,1.8,3,7.1,11.9,19.3
Fraxinus americana,6,1.8,3,7.1,13.5,19.3
Fraxinus americana,8,2.4,3,7.1,17.4,100.4
Fraxinus americana,6,1.8,3,7.1,13.5,19.3
Fraxinus americana,8,2.4,3,7.1,15.1,100.4
Fraxinus americana,8,2.4,3,7.1,16.3,100.4
Fraxinus americana,8,2.4,3,7.1,19.7,100.4
Fraxinus americana,6,1.8,3,7.1,10.4,19.3
Fraxinus americana,8,2.4,3,7.1,15.1,100.4
Fraxinus americana,6,1.8,3,7.1,12.7,19.3
Fraxinus ornus,6.7,2,3,7.1,11.8,92.59999999999999
