Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,Count
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.11,,,45.3,0.23,,0.47,2.1,6,1.8,5,19.6,31.2,1.8,46.11863818849449,11.09831467939792,POINT (11.09831467939792 46.11863818849449),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,48.2,0.25,,0.49,2.1,6,1.8,5,19.6,33.2,2,46.11076843813112,11.09106298960538,POINT (11.09106298960538 46.11076843813112),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0.1,0.21,,,86.2,0.44,,0.8,2.5,6,1.8,6,28.3,59.4,3.5,46.09822187853973,11.11919976216572,POINT (11.11919976216572 46.09822187853973),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.06,,,26.6,0.14,,0.35,2.5,6,1.8,4,12.6,18.4,1.1,46.11738923410024,11.09073241586079,POINT (11.09073241586079 46.11738923410024),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.08,,,34.6,0.18,,0.41,2.5,6,1.8,4,12.6,23.8,1.4,46.11744743801277,11.09068479046156,POINT (11.09068479046156 46.11744743801277),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.08,,,34.6,0.18,,0.41,2.5,6,1.8,4,12.6,23.8,1.4,46.11754847763677,11.09059814693602,POINT (11.09059814693602 46.11754847763677),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.07000000000000001,,,30.6,0.16,,0.38,2.5,6,1.8,4,12.6,21.1,1.2,46.11760497023994,11.09055058594221,POINT (11.09055058594221 46.11760497023994),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.08,,,34.6,0.18,,0.41,2.5,6,1.8,4,12.6,23.8,1.4,46.11765945807978,11.09050437265978,POINT (11.09050437265978 46.11765945807978),1
Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0,0.08,,,34.6,0.18,,0.41,2.5,6,1.8,4,12.6,23.8,1.4,46.11780761257142,11.09038094276864,POINT (11.09038094276864 46.11780761257142),1
Celtis australis,17,712.11,21.7,3.49,0.9,0.14,0,0.08,,,33.9,0.17,,0.4,2.4,6,1.8,4,12.6,23.4,1.4,46.11787326724533,11.09032453887635,POINT (11.09032453887635 46.11787326724533),1
